cntry,iso3,gdp_pcap_ppp,gini,gini_year,cpi
AT,AUT,56636.4953030542,30.8,2018,76
BE,BEL,52466.7330784599,27.2,2018,75
BG,BGR,23997.6876896184,41.3,2018,42
CH,CHE,70688.8187491194,33.1,2018,85
CY,CYP,40262.30859375,32.7,2018,59
CZ,CZE,41638.1831076596,25.0,2018,59
DE,DEU,56273.0405627017,31.9,2018,80
DK,DNK,57233.6231685618,28.2,2018,88
ES,ESP,41015.1565755187,34.7,2018,58
EE,EST,37120.9879761677,30.3,2018,73
FI,FIN,49248.6775395866,27.3,2018,85
FR,FRA,46381.0590629457,32.4,2018,72
GB,GBR,47212.2045190522,33.7,2018,80
HR,HRV,29789.1305400916,29.7,2018,48
HU,HUN,32258.2577892511,30.6,2017,46
IE,IRL,86299.3420216976,30.6,2018,73
IS,ISL,57197.7676247175,26.6,2018,76
IT,ITA,43386.7005868803,35.2,2018,52
LT,LTU,36491.9385223689,35.7,2018,59
LV,LVA,29817.8047263182,35.1,2018,58
ME,MNE,21083.5882908272,36.8,2018,45
NL,NLD,58819.2609142584,28.1,2018,82
NO,NOR,70253.8463693386,27.6,2018,84
PL,POL,32345.1066076225,30.2,2018,60
PT,PRT,34896.7993382974,33.5,2018,64
RS,SRB,18469.022619005,35.0,2018,39
SK,SVK,31509.8187291635,25.0,2018,50
SI,SVN,38620.2045436305,24.6,2018,60
SE,SWE,53122.438677218,30.0,2018,85
