cntry,dweight,pspwght,pweight,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,gndr,agea,domicil,eisced,eduyrs,hinctnta,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
AT,0.5811743,0.21811137,0.30209145,60.0,5.0,180.0,2.0,2.0,2.0,1.0,43.0,4.0,3.0,12.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
AT,1.0627724,0.41347328,0.30209145,10.0,5.0,20.0,7.0,8.0,7.0,1.0,67.0,4.0,3.0,12.0,5.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0
AT,1.3765086,2.2702928,0.30209145,60.0,4.0,180.0,5.0,7.0,7.0,2.0,40.0,4.0,2.0,12.0,9.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
AT,0.9933993,0.38648343,0.30209145,45.0,5.0,120.0,3.0,9.0,5.0,1.0,63.0,4.0,3.0,11.0,6.0,2.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0
AT,0.37735337,1.0321022,0.30209145,30.0,1.0,,5.0,8.0,4.0,2.0,71.0,4.0,2.0,8.0,1.0,2.0,6.0,1.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,6.0,2.0,6.0,1.0,3.0,2.0,1.0,1.0,3.0
AT,1.4793528,0.57554466,0.30209145,45.0,2.0,,8.0,7.0,6.0,1.0,64.0,4.0,3.0,13.0,5.0,4.0,6.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0
AT,0.9917577,0.72060436,0.30209145,60.0,1.0,,6.0,1.0,3.0,1.0,56.0,4.0,3.0,12.0,7.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0
AT,0.30985904,0.13011284,0.30209145,30.0,1.0,,7.0,7.0,7.0,2.0,74.0,3.0,3.0,11.0,2.0,3.0,4.0,4.0,4.0,1.0,6.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,6.0,3.0,4.0,1.0,1.0,4.0,4.0
AT,1.2303838,1.7707597,0.30209145,30.0,5.0,120.0,2.0,9.0,9.0,1.0,37.0,4.0,3.0,12.0,,4.0,6.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,2.0,3.0,1.0,5.0,3.0,6.0,1.0,6.0,2.0,1.0,1.0,1.0
AT,0.4588362,0.74281406,0.30209145,25.0,4.0,360.0,7.0,4.0,4.0,2.0,22.0,4.0,3.0,12.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0
